"","State","Actual","Lower","Upper","Sig"
"1","1",112.458938830437,-54.3118707010228,163.34393486084,0
"58","2",39.4551769920998,-167.392544235102,187.483638031885,0
"115","3",-45.0969681081548,-135.370163155416,70.3793287336816,0
"172","4",147.434837806936,-61.4059656378646,227.188528728455,0
"229","5",11.1832953088473,-11.1554263830487,26.160404550529,0
"286","6",137.98396155597,-50.6698828724771,204.151525365899,0
"343","7",47.6715465507234,-81.9572118849939,156.700320492466,0
"400","8",-45.0285681688776,-136.998889142984,109.950889731594,0
"457","9",89.4512997675729,-110.365386322575,209.433377250965,0
"514","10",-28.5437683126735,-112.786173634503,79.8324575500333,0
"571","11",-28.9363922695722,-31.0552560790176,-3.33218148284885,1
"628","12",-141.219594284469,-259.056686553318,52.1682824104791,0
"685","13",9.46708898782587,-115.022398112296,127.481596380641,0
"742","14",-65.5867130277266,-111.875590208714,33.6416456344552,0
"799","15",289.991914497749,83.2523507879401,296.972369745767,1
"856","16",110.736897110567,-34.5176104645509,207.221764407112,0
"913","17",146.113264713597,-39.1275275221388,214.525653422253,0
"970","18",117.236230662422,-82.4692377322559,197.361298406995,0
"1027","19",-189.900335852743,-195.2940549046,-24.6342302291136,1
"1084","20",335.064184112713,56.9884575701869,295.499382804543,1
"1141","21",-42.8507683043885,-160.245384698796,99.1783953968277,0
"1198","22",-72.4255370693385,-179.510878013306,106.572590586862,0
"1255","23",77.4486191243605,-37.7221885240299,118.199904534346,0
"1312","24",-280.547019910581,-282.020679761528,-49.593873842741,1
"1369","25",-52.1426751740945,-173.427075307433,107.069381409614,0
"1426","26",-119.177803591751,-187.990469569666,52.3941670143981,0
"1483","27",-82.7592525255149,-180.583907039696,76.5332024475725,0
"1540","28",-87.2101287288017,-156.419223040567,39.0228894219996,0
"1597","29",26.6977284794427,-13.2338011144334,37.6790352279237,0
"1654","30",-102.234439373409,-163.772269685906,11.551524605162,0
"1711","31",21.9371931313324,-115.197505928496,171.030123397383,0
"1768","32",-21.6069362924479,-68.5164515375839,43.2826502136624,0
"1825","33",75.5694150232913,-38.4992327500274,150.131520729475,0
"1939","35",-362.351197824199,-417.998959309735,13.3443965256827,0
"1996","36",49.3994708587941,-63.2291714300046,128.927370083116,0
"2053","37",68.3836794103452,-52.515742554164,148.398753186278,0
"2110","38",-30.5933112206718,-38.8006730908122,12.2902651049224,0
"2167","39",-161.316150097004,-203.608103123816,3.27882817323913,0
"2224","40",-50.5076159403811,-154.016108686148,143.012471809442,0
"2281","41",63.6816662547862,-52.3825990894629,154.300788283077,0
"2338","42",81.7095681166938,-70.0915085119205,144.746286082726,0
"2395","43",-90.8750296931118,-157.175747223559,20.932620759098,0
"2452","44",88.7778388307167,-24.6118226592622,152.8622167209,0
"2509","45",-61.5340668912544,-100.314806728056,14.3387688315653,0
"2566","46",-162.906144254574,-294.207858479395,48.9640180025525,0
"2623","47",80.8066265485295,-87.3383063666932,155.42943503743,0
"2680","48",-93.8166384502738,-166.480438897164,70.0779227269985,0
"2737","49",-52.2924819786549,-202.752813651681,152.935320091355,0
"2794","50",-32.4616405730015,-150.514677453094,125.546092238536,0
"2851","51",134.869578359654,-17.5996188833067,202.337269618341,0
